store,item,date,demand
1,1,2026-03-19,19.92461204528809
1,1,2026-03-19,19.73443984985352
1,1,2026-03-19,19.73443984985352
1,1,2026-03-19,19.73443984985352
1,1,2026-03-19,19.73443984985352
1,1,2026-03-19,19.73443984985352
1,1,2026-03-19,19.73443984985352
1,1,2026-03-20,19.73443984985352
1,1,2026-03-20,19.73443984985352
1,1,2026-03-20,19.73443984985352
1,1,2026-03-20,19.73443984985352
1,1,2026-03-20,18.836849212646484
2,1,2026-03-20,17.11719512939453
1,2,2026-03-20,20.303442001342773
2,8,2026-03-20,23.6285400390625
2,8,2026-03-20,27.69007110595703
2,8,2026-03-20,30.04648399353028
2,4,2026-03-20,22.504308700561523
2,4,2026-03-20,25.030391693115234
2,4,2026-03-20,26.31557846069336
2,4,2026-03-20,26.732885360717773
2,4,2026-03-20,27.461700439453125
2,4,2026-03-20,28.03874397277832
2,4,2026-03-20,28.12080955505371
2,4,2026-03-20,27.94068145751953
2,4,2026-03-20,29.63014793395996
2,4,2026-03-20,30.25448226928711
5,9,2026-03-20,22.435001373291016
5,9,2026-03-20,25.139190673828125
2,2,2026-03-20,20.082443237304688
2,2,2026-03-20,20.082443237304688
2,2,2026-03-20,20.082443237304688
2,2,2026-03-20,20.082443237304688
2,2,2026-03-20,20.082443237304688
2,2,2026-03-20,20.082443237304688
2,2,2026-03-20,20.082443237304688
2,2,2026-03-20,20.082443237304688
1,9,2026-03-20,20.033233642578125
1,9,2026-03-20,20.033233642578125
1,9,2026-03-20,20.033233642578125
1,9,2026-03-20,20.033233642578125
1,9,2026-03-20,20.033233642578125
1,9,2026-03-20,20.033233642578125
1,9,2026-03-20,20.033233642578125
1,9,2026-03-20,20.033233642578125
1,9,2026-03-20,20.033233642578125
1,9,2026-03-20,20.033233642578125
1,9,2026-03-20,20.033233642578125
1,9,2026-03-20,20.033233642578125
1,9,2026-03-20,20.033233642578125
1,9,2026-03-20,20.033233642578125
1,9,2026-03-20,20.033233642578125
1,9,2026-03-20,20.033233642578125
1,9,2026-03-20,20.033233642578125
1,9,2026-03-20,20.033233642578125
